CSV Split Summary
=================

Date: 28-Jun-2026 23:44:38
Input file: data/legacy/original_csv/RUSS_24_VALID.CSV
Output directory: data/legacy/surveys/pending

Total surveys: 12578
Total rows: 11651703
Average rows per survey: 926
Time elapsed: 341.3 minutes

Survey file row counts:
-----------------------
F398213: 122 rows
F398216: 133 rows
F398219: 141 rows
F398245: 135 rows
F398258: 49 rows
F398260: 62 rows
F398268: 78 rows
F398269: 67 rows
F399232: 130 rows
F399233: 85 rows
F399236: 71 rows
F399238: 117 rows
F399245: 87 rows
F478345: 19 rows
F479009: 23 rows
F479010: 41 rows
F479051: 11 rows
F479052: 5 rows
F479062: 26 rows
F479075: 71 rows
F479096: 20 rows
F491241: 224 rows
F491242: 360 rows
F491243: 33 rows
F491246: 302 rows
F491247: 423 rows
F491249: 371 rows
F491250: 247 rows
F491251: 558 rows
F491252: 426 rows
F491255: 175 rows
F491256: 510 rows
F491257: 74 rows
F491258: 378 rows
F491265: 426 rows
F491267: 470 rows
F491272: 193 rows
F491277: 412 rows
F491278: 286 rows
F497021: 239 rows
F497022: 189 rows
F497023: 338 rows
F497024: 378 rows
F497027: 391 rows
F497028: 396 rows
F497031: 175 rows
F497032: 375 rows
F497033: 395 rows
F497034: 274 rows
F497035: 242 rows
F497036: 241 rows
F498260: 32 rows
F499062: 83 rows
F499065: 62 rows
F499069: 168 rows
F499073: 99 rows
F499080: 114 rows
F499083: 65 rows
F499085: 127 rows
F499091: 171 rows
F499093: 251 rows
F499096: 154 rows
F499098: 25 rows
F499099: 178 rows
F499101: 127 rows
F499105: 278 rows
F499106: 201 rows
F499117: 20 rows
F499119: 127 rows
F499121: 249 rows
F499122: 349 rows
F499130: 199 rows
F499132: 291 rows
F499133: 161 rows
F499134: 256 rows
F499135: 211 rows
F499136: 164 rows
F499138: 9 rows
F499142: 241 rows
F499143: 215 rows
F499147: 305 rows
F499148: 392 rows
F499149: 236 rows
F499150: 334 rows
F499153: 127 rows
F499155: 57 rows
F499156: 210 rows
F499157: 300 rows
F499162: 146 rows
F499167: 21 rows
F499170: 283 rows
F499171: 293 rows
F499173: 174 rows
F499178: 411 rows
F499181: 219 rows
F580213: 15 rows
F580242: 25 rows
F591239: 70 rows
F591241: 198 rows
F591242: 299 rows
F591246: 314 rows
F591247: 407 rows
F591249: 492 rows
F591250: 202 rows
F591251: 368 rows
F591252: 287 rows
F591255: 185 rows
F591257: 107 rows
F591258: 327 rows
F591265: 260 rows
F591267: 339 rows
F591272: 181 rows
F597058: 379 rows
F597059: 317 rows
F597060: 327 rows
F597061: 234 rows
F597062: 193 rows
F597063: 368 rows
F597064: 305 rows
F597067: 380 rows
F597068: 357 rows
F597069: 357 rows
F597070: 225 rows
F597071: 184 rows
F597072: 65 rows
F597075: 197 rows
F597076: 165 rows
F598134: 101 rows
F598135: 169 rows
F598136: 539 rows
F598139: 514 rows
F598140: 399 rows
F598148: 491 rows
F598158: 485 rows
F598280: 364 rows
F598286: 313 rows
F598290: 405 rows
F598298: 382 rows
F598313: 273 rows
F598314: 567 rows
F598318: 578 rows
F598323: 377 rows
F598329: 478 rows
F599069: 304 rows
F599079: 226 rows
F599080: 332 rows
F599085: 487 rows
F599086: 261 rows
F599091: 454 rows
F599096: 542 rows
F599109: 493 rows
F599115: 540 rows
F599119: 716 rows
F599131: 555 rows
F599132: 811 rows
F599133: 394 rows
F599134: 605 rows
F599137: 583 rows
F599142: 939 rows
F599147: 820 rows
F599156: 731 rows
F599162: 251 rows
F688055: 35 rows
F688056: 70 rows
F688057: 36 rows
F688058: 127 rows
F689005: 87 rows
F689007: 106 rows
F689017: 46 rows
F689019: 84 rows
F689025: 103 rows
F689029: 44 rows
F689031: 78 rows
F689032: 143 rows
F689044: 70 rows
F689046: 59 rows
F689047: 67 rows
F689049: 27 rows
F689051: 80 rows
F689057: 67 rows
F689062: 72 rows
F689314: 62 rows
F689315: 61 rows
F689316: 94 rows
F689317: 75 rows
F689318: 94 rows
F689319: 75 rows
F689320: 43 rows
F689321: 93 rows
F689322: 65 rows
F689323: 55 rows
F689324: 91 rows
F689325: 70 rows
F689326: 36 rows
F689327: 45 rows
F689328: 47 rows
F689329: 61 rows
F689330: 127 rows
F689332: 125 rows
F689333: 47 rows
F689334: 60 rows
F689335: 69 rows
F689336: 136 rows
F689337: 40 rows
F689338: 78 rows
F689339: 56 rows
F689340: 77 rows
F689341: 98 rows
F689342: 18 rows
F689344: 85 rows
F689345: 102 rows
F689346: 46 rows
F689347: 47 rows
F689348: 101 rows
F689349: 58 rows
F689350: 35 rows
F689351: 41 rows
F690305: 62 rows
F690306: 72 rows
F690307: 67 rows
F690308: 88 rows
F690309: 108 rows
F690310: 73 rows
F690311: 55 rows
F690312: 33 rows
F690313: 35 rows
F690314: 26 rows
F690315: 89 rows
F690316: 64 rows
F690317: 30 rows
F690318: 34 rows
F690319: 38 rows
F690320: 61 rows
F690321: 30 rows
F690322: 41 rows
F690323: 83 rows
F690324: 101 rows
F690325: 40 rows
F690326: 42 rows
F690327: 68 rows
F690328: 73 rows
F690329: 52 rows
F690330: 78 rows
F690331: 74 rows
F690332: 43 rows
F690333: 28 rows
F690334: 24 rows
F690335: 45 rows
F690336: 43 rows
F690337: 36 rows
F690338: 26 rows
F690339: 48 rows
F690340: 57 rows
F690341: 30 rows
F690343: 29 rows
F690344: 45 rows
F690345: 70 rows
F690346: 66 rows
F690347: 113 rows
F691033: 42 rows
F691034: 41 rows
F691035: 27 rows
F691036: 92 rows
F691037: 90 rows
F691038: 63 rows
F691039: 34 rows
F691040: 51 rows
F691041: 68 rows
F691042: 66 rows
F691043: 55 rows
F691044: 38 rows
F691045: 38 rows
F691046: 31 rows
F691047: 54 rows
F691048: 62 rows
F691049: 78 rows
F691050: 47 rows
F691051: 78 rows
F691052: 130 rows
F691053: 59 rows
F691054: 35 rows
F691056: 84 rows
F691057: 67 rows
F691058: 53 rows
F691059: 60 rows
F691060: 81 rows
F691062: 26 rows
F691073: 94 rows
F691074: 36 rows
F691075: 28 rows
F691076: 35 rows
F691077: 92 rows
F691078: 51 rows
F691079: 92 rows
F691080: 67 rows
F691081: 42 rows
F691351: 79 rows
F691352: 95 rows
F691353: 34 rows
F691355: 73 rows
F691356: 137 rows
F692003: 33 rows
F692004: 33 rows
F692005: 124 rows
F692006: 67 rows
F692007: 84 rows
F692008: 68 rows
F692009: 66 rows
F692010: 39 rows
F692011: 52 rows
F692012: 90 rows
F692013: 38 rows
F692014: 30 rows
F692015: 60 rows
F692016: 54 rows
F692017: 39 rows
F692018: 55 rows
F692020: 46 rows
F692032: 44 rows
F692033: 44 rows
F692034: 117 rows
F692035: 109 rows
F692036: 62 rows
F692038: 52 rows
F692039: 41 rows
F692040: 44 rows
F692042: 46 rows
F692043: 37 rows
F692062: 80 rows
F692335: 39 rows
F692336: 22 rows
F692337: 26 rows
F692338: 36 rows
F692339: 106 rows
F692340: 23 rows
F692341: 32 rows
F692342: 43 rows
F692343: 41 rows
F692344: 27 rows
F692345: 30 rows
F692346: 26 rows
F692347: 57 rows
F692348: 26 rows
F692349: 31 rows
F692350: 29 rows
F692351: 56 rows
F692352: 32 rows
F692353: 27 rows
F692355: 36 rows
F693003: 30 rows
F693005: 50 rows
F693008: 56 rows
F693009: 97 rows
F693013: 79 rows
F693014: 37 rows
F693015: 37 rows
F693016: 27 rows
F693017: 48 rows
F693018: 83 rows
F693019: 61 rows
F693021: 30 rows
F693022: 47 rows
F693023: 50 rows
F693024: 34 rows
F693025: 22 rows
F693027: 37 rows
F693028: 53 rows
F693029: 55 rows
F693030: 70 rows
F693031: 107 rows
F693032: 42 rows
F693033: 35 rows
F693034: 33 rows
F693035: 64 rows
F693039: 97 rows
F693040: 32 rows
F693043: 43 rows
F693044: 39 rows
F693045: 61 rows
F693046: 44 rows
F693047: 36 rows
F693048: 40 rows
F693049: 35 rows
F693050: 23 rows
F693051: 77 rows
F693052: 39 rows
F693054: 45 rows
F693055: 39 rows
F693056: 36 rows
F693057: 52 rows
F693058: 42 rows
F693059: 81 rows
F693060: 101 rows
F693061: 65 rows
F693062: 18 rows
F693067: 45 rows
F693068: 80 rows
F693069: 60 rows
F693070: 55 rows
F693071: 25 rows
F693073: 22 rows
F693074: 24 rows
F693075: 29 rows
F693077: 26 rows
F693080: 30 rows
F693081: 32 rows
F693084: 72 rows
F693334: 37 rows
F693335: 29 rows
F693336: 58 rows
F693337: 90 rows
F693338: 122 rows
F693339: 91 rows
F693340: 126 rows
F693341: 145 rows
F693342: 112 rows
F693343: 182 rows
F693344: 149 rows
F693345: 54 rows
F693346: 82 rows
F693347: 73 rows
F693348: 60 rows
F693349: 61 rows
F693350: 86 rows
F693351: 85 rows
F693352: 156 rows
F693353: 108 rows
F693354: 103 rows
F693355: 69 rows
